Id,Label,Type,Occurrences Count,ID (type 1),Time Interval,Investments
company_c87b43002a0da1a21fd732705cf627f4,sberbank,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2008.0, 2009.0, 403]>","<[2008.0, 2009.0]>",
company_7fd3f164c311ea479528a3d4374972fd,schawk,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 404]>","<[2010.0, 2011.0]>",
company_8bb460dc1266bace1026a5876aed6110,schroders / asia pacific land group,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2008.0, 2009.0, 405]>","<[2008.0, 2009.0]>",
company_5821e945d22edb48ef4845296d700877,sella bank,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 2]>","<[2009.0, 2010.0, 224); [2010.0, 2011.0, 223]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>",
company_def2979cc8866209a3751fa344350378,shire,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 6]>","<[2009.0, 2010.0, 407 | 408 | 409 | 410 | 411); [2010.0, 2011.0, 412]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>",
company_c67d8c065848970b3ed9ff3613c6ba65,signa recap management,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 413]>","<[2010.0, 2011.0]>",
company_94c7a50a6eb714ae74400485683487d7,sisk group / sicon,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 414]>","<[2010.0, 2011.0]>",
company_d743e8d67af5336d107f470d7b17f437,skandinaviska enskilda banken,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 415]>","<[2009.0, 2010.0]>",
company_d421c3f3848dd23ad47b365904352488,skype,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2005.0, 2006.0, 580]>","<[2005.0, 2006.0]>",
company_b20a791cd6780e6c7ee9375574775e07,skype (then owned by ebay / silver lake partners),"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 2]>","<[2010.0, 2011.0, 582 | 584]>","<[2010.0, 2011.0]>",
company_20a18feb3108c066ebf4c913f284721a,socfin,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 416]>","<[2010.0, 2011.0]>",
company_b4982a17e95179d28c387b3d08303eae,sportfive group,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 418]>","<[2010.0, 2011.0]>",
company_dba450eec1fe7eeb57597fb2bb650c13,sr technics,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 419]>","<[2009.0, 2010.0]>",
company_254d290cd568731c37ba45103c16c22d,srv,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 561]>","<[2009.0, 2010.0]>",
company_50f83e24db4b5ff758bb2b11b58e39ad,stabilus,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 420]>","<[2009.0, 2010.0]>",
company_a4d18fc84a927940d1294e253001ce3d,staples,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 421]>","<[2009.0, 2010.0]>",
company_1814c8f6ccce57937fe808dc1d08bac9,star capital partners,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 422]>","<[2009.0, 2010.0]>",
company_38560a88ddb6df2d2138324ad332c647,starwood capital group,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 4]>","<[2008.0, 2009.0, 426]; [2010.0, 2011.0, 423 | 424 | 425]>","<[2008.0, 2009.0]; [2010.0, 2011.0]>",
company_9aea7b23b427e31f350251d7764d1ac3,state street bank,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2008.0, 2009.0, 427]>","<[2008.0, 2009.0]>",
company_a55e66526a773767dba6e64dd88fd0bb,sun capital,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 428]>","<[2009.0, 2010.0]>",
company_263e7e39be6ca4e452ae1d2dd1226c39,swire pacific,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 429]>","<[2010.0, 2011.0]>",
company_c0be42a689146da3eefe79271a9dbcee,sykes enterprises,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 430]>","<[2009.0, 2010.0]>",
company_1c91f6d507c3d5dd11112dffa82e7d5d,taylor and francis group / informa,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2008.0, 2009.0, 273]>","<[2008.0, 2009.0]>",
company_05517387411b1eedf51bf16b4ae7a67c,taylor wimpey,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 3]>","<[2009.0, 2010.0, 535 | 536 | 537]>","<[2009.0, 2010.0]>",
company_dc7a08848d3fca273d1535bdb45a85c7,tdc a/s,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 553]>","<[2010.0, 2011.0]>",
company_318f0de8434401bbfd0ca5e42c108743,tdr capital,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 431]>","<[2010.0, 2011.0]>",
company_cdc38147e4f53a09485f7ca7d5ac64b5,tele columbus,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 432]>","<[2010.0, 2011.0]>",
company_6a56e2c7508ed39ff2b6478a1c09f7cc,tele2 group,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 433]>","<[2010.0, 2011.0]>",
company_8839093c94b7fd4a64c4f1ae435bd5ce,telecom italia group,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2007.0, 2008.0, 577]>","<[2007.0, 2008.0]>",
company_39f84a6f5916604a33c4338688a6e921,telenet,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 544]>","<[2010.0, 2011.0]>",
company_1f8b31b1195b31d30e05687d155dcab6,temenos,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 434]>","<[2009.0, 2010.0]>",
company_f7e88c4d89eb4c6e98b776d816cd7a29,the heesen family,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 562]>","<[2009.0, 2010.0]>",
company_cee710ff4b3b000c165c3b628e93670b,the prudential assurance company,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 2]>","<[2006.0, 2007.0, 379]; [2009.0, 2010.0, 380]>","<[2006.0, 2007.0]; [2009.0, 2010.0]>",
company_be429268b703a78fdda1d3adb5a237d3,the red sunset holding,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 406]>","<[2009.0, 2010.0]>",
company_5c11b8180c3dc6442031ac18dbe7e8a0,the walt disney company,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 574]>","<[2009.0, 2010.0]>",
