United Technologies Corporation,United Technologies Corporation,United States;Canada,Manufacturing;Travel;Tech
UPLINE,UPLINE Group,Morocco;,Finance
Value-Call,Value-Call,Luxembourg;Denmark,Finance
Vastned Offices / Industrial NV,Vastned Offices / Industrial NV,Netherlands;Germany,Finance
Verizon,Verizon,United States;Netherlands,Tech
Vermilion Energy Trust,Vermilion Energy Trust,Canada;Ireland;Hungary;France,Energy;Finance
Veronis Suhler Stevenson  / Lanetro Zed,Veronis Suhler Stevenson,Spain;United States,Finance;Media
Vistec Electronic Beam Lithography Group,Vistec Electronic Beam Lithography Group,Germany;,Manufacturing
VITEC Group,Vitec Group,United Kingdom;Germany,Manufacturing;Media
Vitruvian Partners,Vitruvian Partners,United Kingdom;,Finance
Viva Group,Viva Group,Hong Kong;Poland;Canada,Media
VKGP,VKGP,Luxembourg;Switzerland,Media
Vodafone,Vodafone,United Kingdom;United States,Tech
Vodafone Finance,Vodafone,Switzerland;United Kingdom,Tech
Volkswagen Financial Services,Volkswagen Group,Germany;Netherlands,Finance; Manufacturing
VTS,VTS Group,Poland;China,Manufacturing
Warner Chilcott Group,Warner Chilcott (now Actavis),United States;Ireland,Health
Waalfin Holding / WE Group,WE Group,Netherlands;British Virgin Islands;Belgium,Retail
Weather Investments / Hellas Telecommunications / Wind,Weather Investments,Italy;Greece,Finance;Tech
Weather Investments / Orascom,Weather Investments,Italy;Egypt,Finance;Tech
Weatherford,Weatherford International,Switzerland;Cyprus;United States;Norway;Hungary,Energy
Wendel Investissement,Wendel Group,France;Netherlands,Finance
WGZ Bank,WGZ Bank,Germany;,Finance
White Mountains Insurance Group,White Mountains Insurance Group,Bermuda;United States,Finance
White Mountains Insurance Group / Sirius Insurance Holding,White Mountains Insurance Group,United States;Sweden;Bermuda,Finance
Wolseley,Wolseley,United Kingdom;United States,Manufacturing
Wynnchurch Capital / Safeworks,Wynnchurch Capital,United States;Belgium,Finance
X-rite Holdings,X-rite,United States;Switzerland,Manufacturing
Yamana Gold,Yamana Gold,Canada;Argentina;Chile;Netherlands;Barbados,Energy
York Capital Management,York Capital Management,United States;Turkey,Finance
